Title,Source,Date,Link
"Homes are flooding outside FEMA's 100-year flood zones, and racial inequality is showing through",The Conversation,"Sep 24, 2020",https://theconversation.com/homes-are-flooding-outside-femas-100-year-flood-zones-and-racial-inequality-is-showing-through-146728
FEMA Denied Most Oregonians Seeking Wildfire Disaster ...,Jefferson Public Radio,"Feb 10, 2021",https://www.ijpr.org/wildfire/2021-02-10/fema-denied-most-oregonians-seeking-wildfire-disaster-assistance
‘People just give up’: Low-income hurricane victims slam federal relief programs,Politico,"May 29, 2018",https://www.politico.com/story/2018/05/29/houston-hurricane-harvey-fema-597912
Hurricane Harvey victims hang their hopes on FEMA response,Reuters,"Sep 1, 2017",https://www.reuters.com/article/us-storm-harvey-fema-aid-idUSKCN1BC4GW
Texas winter storm: How to apply for FEMA aid through remote applications,ABC13,"Feb 24, 2021",https://abc13.com/fema-emergency-aid-for-texas-houston-disaster-relief-how-to-apply-federal/10364856/
FEMA Responds Poorly To Communities Of Color : Short Wave,NPR,1 month ago,https://www.npr.org/transcripts/1013368206
New legislation calls for FEMA flood maps to be updated,KIII,"Jun 24, 2021",https://www.kiiitv.com/article/news/local/fema-flood-map-update/503-97ee7d5f-fe74-454a-a19b-ee7bc3bda31d
“People Are Wiped Out”: Costs Pile Up as Hurricane Season ...,Texas Observer,"Jun 23, 2021",https://www.texasobserver.org/people-are-wiped-out-costs-pile-up-as-hurricane-season-begins/
U.S. rolls out first update to flood insurance pricing in 50 years,Reuters,"Apr 1, 2021",https://www.reuters.com/article/us-usa-fema-floodinsurance-idUSKBN2BO6SB
Hurricane Harvey kicks FEMA disaster command center into high gear,USA Today,"Aug 27, 2017",https://www.usatoday.com/story/news/politics/2017/08/27/hurricane-harvey-kicks-fema-disaster-command-center-into-high-gear/606543001/
FEMA has funding to fight homelessness. No one's taking it.,Grist,"May 10, 2021",https://grist.org/housing/fema-funding-homelessness-covid-19/
Preparedness Webinars | FEMA.gov - FEMA - FEMA,| FEMA.gov,"Aug 10, 2020",https://www.fema.gov/emergency-managers/individuals-communities/preparedness-webinars
"FEMA Is Nearly Out of Cash, Just as Hurricanes Harvey and Irma Strike",NBC News,"Sep 7, 2017",https://www.nbcnews.com/storyline/hurricane-irma/between-hurricanes-harvey-irma-fema-nearly-out-cash-n799386
FEMA on track to pay $11 billion in Hurricane Harvey ...,Houston Chronicle,"Sep 13, 2017",https://www.houstonchronicle.com/business/article/FEMA-on-track-to-pay-11-billion-in-Hurricane-12196002.php
FEMA funeral program inundated by 1 million calls at launch,CBS News,"Apr 14, 2021",https://www.cbsnews.com/news/fema-covid-funeral-assistance-inundated/
FEMA Introduces New Director of the US Virgin Islands Joint ...,Homeland Security Today,"Jun 24, 2021",https://www.hstoday.us/people-on-the-move/fema-introduces-new-director-of-the-u-s-virgin-islands-joint-recovery-office/
FEMA: Emergency housing for Hurricane Harvey refugees will be 'frustrating' and 'a long process',USA Today,"Aug 29, 2017",https://www.usatoday.com/story/news/2017/08/29/fema-emergency-housing-hurricane-harvey-refugees/612455001/
"Hurricane Harvey Victims: More Than 20,000 Children in Houston Are Homeless, Report Shows",Newsweek,"Nov 26, 2017",https://www.newsweek.com/hurricane-harvey-victims-homeless-fema-722640
"After a storm wrecked her home, an Iowa woman fights FEMA ...",The Washington Post,"Apr 25, 2021",https://www.washingtonpost.com/nation/2021/04/25/fema-disaster-assistance-denied/
Sugar Land officials keep an eye on tropical storm to the south,Houston Chronicle,"Jun 14, 2021",https://www.houstonchronicle.com/neighborhood/sugarland/article/Sugar-Land-officials-keep-an-eye-on-tropical-16246938.php
Recent disasters reveal racial discrimination in FEMA aid ...,Facing South,"Sep 24, 2018",https://www.facingsouth.org/2018/09/recent-disasters-reveal-racial-discrimination-fema-aid-process
Can you apply for FEMA if you have insurance? Top questions answered,Click2Houston,"Feb 23, 2021",https://www.click2houston.com/news/local/2021/02/23/can-you-apply-for-fema-if-you-have-insurance-top-questions-answered/
FEMA leaks Hurricane Harvey victims' personal data to contractor,ABC13,"Mar 22, 2019",https://abc13.com/fema-disasters-2017-hurricane-harvey/5212781/
Hurricane Laura further strains FEMA in disaster-filled year,AP News,"Aug 27, 2020",https://apnews.com/65b148c3987a305c220571fed90f085b
FEMA denies vast majority of homeowners’ derecho aid requests,The Gazette,"May 3, 2021",https://www.thegazette.com/news/fema-denies-vast-majority-of-homeowners-derecho-aid-requests/
Harvey victims say FEMA hotel program plagued by confusion,The Texas Tribune,"Dec 18, 2017",https://www.texastribune.org/2017/12/18/texas-harvey-victims-say-fema-hotel-program-plagued-confusion/
What we learned in Texas after Hurricane Harvey,Politico,"Jul 2, 2019",https://www.politico.com/agenda/story/2019/07/02/hurricane-harvey-texas-000932
FEMA extends support to Recovery Service Center,KATC,1 month ago,https://www.katc.com/news/calcasieu-parish/fema-extends-support-to-recovery-service-center
How the US funds disaster recovery,PolitiFact,"Sep 14, 2017",https://www.politifact.com/article/2017/sep/14/how-us-funds-disaster-recovery/
Clock runs out for hundreds of Texans in hotel rooms eight ...,The Texas Tribune,"Apr 25, 2018",https://www.texastribune.org/2018/04/25/fema-ends-hotel-stays-hundreds-texans-displaced-hurricane-harvey/
"'A very heavy lift': Harvey will drive 30,000 to shelters in Texas, FEMA says",USA Today,"Aug 28, 2017",https://www.usatoday.com/story/news/nation/2017/08/28/heartbreak-texas-harvey-drive-30-000-shelters-fema-says/607224001/
Texans hit by Hurricane Harvey are 'survivors' not 'victims': FEMA officer,ABC News,"Sep 5, 2017",https://abcnews.go.com/US/hurricane-harvey-rebuilding-critical-point-move-disaster-recovery/story?id=49624134
FEMA braces for Hurricane Laura amid coronavirus response,CNN,"Aug 27, 2020",https://www.cnn.com/2020/08/27/politics/hurricane-laura-fema/index.html
HSToday Welcomes Former FEMA Administrator Brock Long ...,Homeland Security Today,"Mar 18, 2021",https://www.hstoday.us/people-on-the-move/hstoday-welcomes-former-fema-administrator-brock-long-contributes-column-joins-editorial-board/
Still Waiting for FEMA in Texas and Florida After Hurricanes,The New York Times,"Oct 22, 2017",https://www.nytimes.com/2017/10/22/us/fema-texas-florida-delays-.html
"Harris County reveals $1.4 billion gap in flood bond program, raising prospect of project delays",Houston Chronicle,"Mar 9, 2021",https://www.houstonchronicle.com/news/houston-texas/environment/article/Harris-County-reveals-1-4-billion-gap-in-flood-16012642.php
Lower-Income Survivors Are Less Likely To Get FEMA Aid ...,WVTF,1 month ago,https://www.wvtf.org/post/lower-income-survivors-are-less-likely-get-fema-aid-after-disaster-documents-show
OIG: FEMA's Lack of DMA 2000 Compliance Hinders Ability to ...,Homeland Security Today,1 month ago,https://www.hstoday.us/subject-matter-areas/infrastructure-security/oig-femas-lack-of-dma-2000-compliance-hinders-ability-to-reduce-repetitive-damage-to-roads-and-bridges/
"Flood-prone homeowners could see major rate hikes in FEMA flood insurance changes, new study finds",USA Today,"Feb 20, 2021",https://www.usatoday.com/in-depth/news/investigations/2021/02/21/fema-flood-insurance-rates-could-spike-some-new-study-shows/6764469002/
Equitable and Just Hurricane and Disaster Preparedness ...,Center for American Progress,"Sep 30, 2020",https://www.americanprogress.org/issues/green/reports/2020/09/30/490964/equitable-just-hurricane-disaster-preparedness-amid-covid-19/
Houston Congressional Democrats Launch Inquiry Into GLO’s Initial Denial Of Harvey Relief Funds,Houston Public Media,"Jun 11, 2021",https://www.houstonpublicmedia.org/articles/news/politics/2021/06/11/400379/local-and-state-officials-will-hold-inquiry-regarding-lack-of-glo-flood-mitigation-funds/
"Amid Climate Change, FEMA And Government Aid Widen ...",NPR,"Mar 5, 2019",https://www.npr.org/2019/03/05/688786177/how-federal-disaster-money-favors-the-rich
Nearly 10 percent of Texans displaced by Harvey still haven't ...,The Texas Tribune,"Aug 23, 2018",https://www.texastribune.org/2018/08/23/fema-and-texas-dont-know-how-many-people-hurricane-harvey-displaced/
OIG Tells FEMA to Improve Transitional Sheltering Assistance ...,Homeland Security Today,"Feb 17, 2021",https://www.hstoday.us/subject-matter-areas/emergency-preparedness/oig-tells-fema-to-improve-transitional-sheltering-assistance-program/
DHS Budget: FEMA Funding Request Focused on Climate ...,Homeland Security Today,"Jun 5, 2021",https://www.hstoday.us/subject-matter-areas/infrastructure-security/dhs-budget-fema-funding-request-focused-on-climate-resilience-incident-response/
Biden’s low-key approach to storm wins praise but courts risks,The Washington Post,"Feb 20, 2021",https://www.washingtonpost.com/politics/biden-storm-lowkey/2021/02/20/9db4468a-731d-11eb-93be-c10813e358a2_story.html
This La Grange man lived in FEMA trailer 2 years after Harvey,KVUE,"Aug 27, 2019",https://www.kvue.com/article/news/two-years-after-hurricane-harvey-families-wait-for-help/269-1e216afb-2846-40b5-b6a5-b6a3ee115f17
FEMA’s (Un)Preparedness for Disasters in a Pandemic,Sierra Club,"Oct 1, 2020",https://www.sierraclub.org/articles/2020/10/fema-s-unpreparedness-for-disasters-pandemic
How to Get a Job With FEMA to Help With Harvey Recovery,Time Magazine,"Aug 30, 2017",https://time.com/4921632/hurricane-harvey-fema-jobs/
How to Prepare for Hurricane Season and Evacuations,The New York Times,"Jun 4, 2021",https://www.nytimes.com/article/hurricane-how-to-prepare.html
After Hurricane Harvey: Will FEMA Trailers Ever Arrive?,Texas Public Radio,"Jan 9, 2018",https://www.tpr.org/news/2018-01-09/after-hurricane-harvey-will-fema-trailers-ever-arrive
FEMA to Texans with Post-Harvey Group Flood Insurance: Plan for Standard Coverage,Insurance Journal,"Feb 27, 2020",https://www.insurancejournal.com/news/southcentral/2020/02/27/559651.htm
The Secret History of FEMA,WIRED,"Sep 3, 2017",https://www.wired.com/story/the-secret-history-of-fema/
"Flood risk is growing for US homeowners due to climate change. Current insurance rates greatly underestimate the threat, a new report finds",CNN,"Feb 22, 2021",https://www.cnn.com/2021/02/22/business/flood-insurance-climate-change-risk-first-street-foundation/index.html
Seven Hard Lessons Federal Responders to Harvey Learned From Katrina,The New York Times,"Sep 7, 2017",https://www.nytimes.com/2017/09/07/us/hurricane-harvey-katrina-federal-responders.html
FEMA offering survey to better help SWLA residents,KPLC,"Feb 6, 2021",https://www.kplctv.com/2021/02/06/fema-offering-survey-better-help-swla-residents/
FEMA: Recovery resource fair planned for Calcasieu and ...,KPLC,"Apr 8, 2021",https://www.kplctv.com/2021/04/07/fema-recovery-resource-fair-calcasieu-cameron/
Supplemental Material for GAO-20-503: Select Disaster ...,Government Accountability Office,"Sep 30, 2020",https://www.gao.gov/products/gao-20-674sp
2019-2020 State Legislative Report on Natural Disasters,National Conference of State Legislatures,"Jan 19, 2021",https://www.ncsl.org/default.aspx?tabid=35851
Hurricane Harvey is one of 74 disasters declared by FEMA in 2017,Orange County Register,"Aug 29, 2017",https://www.ocregister.com/2017/08/29/hurricane-harvey-is-one-of-74-disasters-declared-by-fema-in-2017/
"3 storms, 3 responses: Comparing Harvey, Irma and Maria",CNN,"Sep 27, 2017",https://www.cnn.com/2017/09/26/us/response-harvey-irma-maria/index.html
