,county,state,lat,lon,year,date,disastertype,declarationtitle
2857,Yakutat Borough,AK,59.572734499999996,-139.57831243878087,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2863,Matanuska-Susitna Borough,AK,62.3402481,-149.4793288,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2864,Coeur d'Alene Indian Reservation,ID,47.28312065,-116.8227438994048,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2865,Ada County,ID,43.4136539,-116.2367421,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2867,Fort Hall Indian Reservation,ID,42.564811,-112.576332,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2869,Nez Perce Indian Reservation,ID,46.2763417,-116.42816235112089,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2870,Adams County,ID,44.8677448,-116.4572399,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2871,Bear Lake County,ID,42.2172123,-111.3198808,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2872,Bannock County,ID,42.6936188,-112.2506044,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2873,Blaine County,ID,43.3336455,-113.8808311,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2874,Boise County,ID,43.9873519,-115.7390188,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2875,Bonner County,ID,48.2663565,-116.5952716,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2876,Bonneville County,ID,43.3993844,-111.4752257,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2877,Boundary County,ID,48.7846346,-116.4339511,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2878,Benewah County,ID,47.2162961,-116.6654616,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2879,Bingham County,ID,43.1881598,-112.3598354,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2881,Butte County,ID,43.6989304,-113.2210324,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2882,Camas County,ID,43.4064019,-114.8070143,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2883,Canyon County,ID,43.6435692,-116.7017144,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2884,Caribou County,ID,42.780196,-111.6052607,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2885,Cassia County,ID,42.2219306,-113.5777087,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2886,Clark County,ID,44.2761996,-112.361997,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2887,Clearwater County,ID,46.7108188,-115.658248,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2888,Custer County,ID,44.2339362,-114.2286662,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2889,Elmore County,ID,43.3073766,-115.5411027,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2890,Franklin County,ID,42.1093652,-111.8203389,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2891,Fremont County,ID,44.2309391,-111.4218314,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2892,Gem County,ID,44.0123019,-116.3846609,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2893,Gooding County,ID,43.0031041,-114.8286924,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2894,Idaho County,ID,45.7680684,-115.5160723,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2895,Jefferson County,ID,43.8010248,-112.3498022,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2896,Jerome County,ID,42.702266,-114.2867043,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2897,Kootenai County,ID,47.654857,-116.7162916,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2898,Latah County,ID,46.8171611,-116.693441,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2899,Lemhi County,ID,44.9321886,-113.852998,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2900,Lewis County,ID,46.2651949,-116.4050453,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2901,Lincoln County,ID,43.0138672,-114.1650584,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2902,Madison County,ID,43.7740801,-111.6304151,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2903,Minidoka County,ID,42.844092,-113.6059588,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2904,Nez Perce County,ID,46.3959861,-116.8072307,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2905,Oneida County,ID,42.1628627,-112.5703083,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2906,Owyhee County,ID,42.4677336,-116.1590085,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2907,Payette County,ID,44.0374651,-116.7651123,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2908,Power County,ID,42.6769078,-112.8869775,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2909,Shoshone County,ID,47.305486,-115.9583164,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2910,Teton County,ID,43.7647107,-111.2081469,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2911,Twin Falls County,ID,42.2728777,-114.6971949,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2912,Valley County,ID,44.7475094,-115.5978843,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2913,Washington County,ID,44.3986887,-116.7400859,2020,2020-04-09,Biological,COVID-19 PANDEMIC
2914,Windham County,VT,42.9948675,-72.73425838842638,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2915,Windsor County,VT,43.59239545,-72.54867296060002,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2916,Addison County,VT,44.0285618,-73.1491036,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2917,Bennington County,VT,43.0125713,-73.1473048,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2918,Caledonia County,VT,44.46383305,-72.1083608591196,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2919,Chittenden County,VT,44.4531756,-73.0673673,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2920,Essex County,VT,44.680852099999996,-71.7352329786847,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2921,Franklin County,VT,44.82506505,-72.87436185697103,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2922,Grand Isle County,VT,44.706737,-73.3042618,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2923,Lamoille County,VT,44.6090486,-72.6714363,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2924,Orange County,VT,43.9950352,-72.3763533,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2925,Orleans County,VT,44.8708524,-72.2565721,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2926,Rutland County,VT,43.574307000000005,-73.0266483725074,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2927,Washington County,VT,44.2690924,-72.6146505,2020,2020-04-08,Biological,COVID-19 PANDEMIC
2934,Lower Sioux Community Indian Reservation,MN,44.5282495,-94.98173180488757,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2937,Prairie Island Community Indian Reservation,MN,44.63301945,-92.65162756208724,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2941,Upper Sioux Community Indian Reservation,MN,44.759496,-95.50709339092063,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2943,White Earth Indian Reservation,MN,47.23099085,-95.74556703700563,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2944,Aitkin County,MN,46.5714822,-93.3847595,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2945,Anoka County,MN,45.2710195,-93.2827625,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2946,Becker County,MN,46.9298236,-95.6761851,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2947,Beltrami County,MN,47.9978537,-94.8799011,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2948,Benton County,MN,45.7162129,-94.0481042,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2949,Big Stone County,MN,45.385266,-96.3557364,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2950,Blue Earth County,MN,44.0109722,-94.0560643,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2951,Brown County,MN,44.2350232,-94.6955051,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2952,Carlton County,MN,46.5799933,-92.7206334,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2953,Carver County,MN,44.807118,-93.7871792,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2955,Chippewa County,MN,45.027661,-95.5314914,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2956,Chisago County,MN,45.4758877,-92.8849411,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2957,Clay County,MN,46.8994904,-96.5088202,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2958,Clearwater County,MN,47.5643825,-95.3747844,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2959,Cook County,MN,47.9149076,-90.47301,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2960,Cottonwood County,MN,44.019068,-95.1658845,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2961,Cass County,MN,47.0234117,-94.3454604,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2962,Crow Wing County,MN,46.4665237,-94.1017044,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2963,Dakota County,MN,44.666655,-93.044911,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2964,Dodge County,MN,44.0175404,-92.8678406,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2965,Douglas County,MN,45.9340479,-95.4627651,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2966,Faribault County,MN,43.6647961,-93.9510501,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2967,Fillmore County,MN,43.6466588,-92.0636359,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2968,Freeborn County,MN,43.6763617,-93.3501681,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2969,Goodhue County,MN,44.396973,-92.7175627,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2970,Grant County,MN,45.9358795,-96.0272071,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2971,Hennepin County,MN,45.0257232,-93.4865052,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2972,Houston County,MN,43.6624222,-91.4685617,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2973,Hubbard County,MN,47.1138266,-94.9427679,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2974,Isanti County,MN,45.56932235,-93.32652095523574,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2975,Itasca County,MN,47.4968343,-93.6225663,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2976,Jackson County,MN,43.670011,-95.1500626,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2977,Kanabec County,MN,45.8986948,-93.2850016,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2978,Kandiyohi County,MN,45.142373,-95.0025846,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2979,McKinley Township of,MN,47.5127038,-92.4110144,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2980,Kittson County,MN,48.7709208,-96.8074141,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2981,Nett River Township of,MN,48.0335936,-92.8323196,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2982,Koochiching County,MN,48.221596,-93.7684251,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2983,Lac qui Parle County,MN,44.986426,-96.2024907,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2984,Lake County,MN,47.6348022,-91.4394994,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2985,Lake of the Woods County,MN,48.7032282,-94.8480091,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2986,Le Sueur County,MN,44.3771652,-93.711443,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2987,Lincoln County,MN,44.4020631,-96.2627763,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2988,Lyon County,MN,44.3880733,-95.8287296,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2989,McLeod County,MN,44.8169135,-94.2495251,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2990,Mahnomen County,MN,47.3313602,-95.8142911,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2991,Marshall County,MN,48.3605336,-96.381968,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2992,Martin County,MN,43.6564337,-94.5498419,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2993,Meeker County,MN,45.1183643,-94.5175345,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2994,Mille Lacs County,MN,45.9311972,-93.640356,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2995,Morrison County,MN,45.9926837,-94.2554658,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2996,Mower County,MN,43.6832277,-92.753704,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2997,Murray County,MN,44.017855,-95.7615205,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2998,Nicollet County,MN,44.3380412,-94.2362169,2020,2020-04-07,Biological,COVID-19 PANDEMIC
2999,Nobles County,MN,43.6634212,-95.7527672,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3000,Norman County,MN,47.3194344,-96.4625779,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3001,Olmsted County,MN,43.999812,-92.3765614,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3002,Otter Tail County,MN,46.4184196,-95.713142,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3003,Pennington County,MN,48.0513335,-96.0829271,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3004,Pine County,MN,46.0820957,-92.7542126,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3005,Pipestone County,MN,44.0270012,-96.2566582,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3006,Polk County,MN,47.6554613,-96.4193484,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3007,Pope County,MN,45.5850258,-95.4469471,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3008,Ramsey County,MN,45.0165728,-93.0949501,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3009,Red Lake County,MN,47.8605178,-96.0988343,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3010,Redwood County,MN,44.3788613,-95.2532373,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3011,Renville County,MN,44.7242874,-94.9084771,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3012,Rice County,MN,44.3413376,-93.2865484,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3013,Rock County,MN,43.6733632,-96.2574328,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3014,Blooming Valley Township of,MN,44.2954144,-94.5029173,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3015,Roseau County,MN,48.7710371,-95.7697882,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3016,St. Louis County,MN,47.6201005,-92.4363343,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3017,Scott County,MN,44.6506998,-93.5025726,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3018,Sherburne County,MN,45.4427088,-93.7459202,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3019,Sibley County,MN,44.5603522,-94.2085682,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3020,Stearns County,MN,45.535326,-94.6139422,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3021,Steele County,MN,44.0137336,-93.2203671,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3022,Stevens County,MN,45.5837016,-95.9946194,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3023,Swift County,MN,45.2797223,-95.6898654,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3024,Todd County,MN,46.0588428,-94.887283,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3025,Traverse County,MN,45.7836323,-96.4215265,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3026,Wabasha County,MN,44.2767596,-92.2018164,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3027,Wadena County,MN,46.5850936,-94.9606684,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3028,Waseca County,MN,44.0172242,-93.5885717,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3029,Washington County,MN,45.0078657,-92.874565,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3030,Watonwan County,MN,43.9736055,-94.6370354,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3031,Wilkin County,MN,46.3258354,-96.4586194,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3032,Winona County,MN,43.9582272,-91.7807784,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3033,Wright County,MN,45.1489061,-93.9639196,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3034,Yellow Medicine County,MN,44.7198536,-95.8533555,2020,2020-04-07,Biological,COVID-19 PANDEMIC
3041,Choctaw,OK,35.4975654,-97.2689263,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3061,Osage Indian Reservation,OK,36.66727805,-96.3396935508038,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3070,Alfalfa County,OK,36.7201825,-98.3087911,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3071,Atoka County,OK,34.3284948,-96.017838,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3072,Adair County,OK,35.8783136,-94.6567402,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3073,Beckham County,OK,35.2496723,-99.6946079,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3074,Bryan County,OK,33.95386,-96.3154827,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3075,Caddo County,OK,35.131317,-98.3797949,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3076,Canadian County,OK,35.5438102,-98.0031532,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3077,Blaine County,OK,35.8970899,-98.4225961,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3078,Cimarron County,OK,36.7475509,-102.5402407,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3079,Carter County,OK,34.2330314,-97.2789479,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3080,Cleveland County,OK,35.2301869,-97.3109151,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3081,Choctaw County,OK,34.0246234,-95.52055,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3082,Cherokee County,OK,35.9158661,-94.9950063,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3083,Coal County,OK,34.5661009,-96.2944665,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3084,Cotton County,OK,34.2907874,-98.3750699,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3085,Comanche County,OK,34.6557505,-98.4485103,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3086,Beaver County,OK,36.7621116,-100.4904955,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3087,Custer County,OK,35.6286063,-99.0092034,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3088,Creek County,OK,35.8830723,-96.3835476,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3089,Craig County,OK,36.7594037,-95.2053495,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3090,Ellis County,OK,36.2468449,-99.7883601,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3091,Garfield County,OK,36.3735486,-97.7845975,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3092,Delaware County,OK,36.4118421,-94.8069453,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3093,Garvin County,OK,34.7258964,-97.3522579,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3094,Grady County,OK,35.0507761,-97.8849251,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3095,Grant County,OK,36.7888817,-97.7824914,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3096,Dewey County,OK,35.9795036,-98.9816579,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3097,Greer County,OK,34.9326334,-99.5435856,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3098,Haskell County,OK,35.2084387,-95.1115771,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3099,Harper County,OK,36.7804883,-99.6710032,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3100,Harmon County,OK,34.7486602,-99.8358205,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3101,Hughes County,OK,35.0458435,-96.2749675,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3102,Jackson County,OK,34.5976018,-99.4370196,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3103,Jefferson County,OK,34.1234448,-97.8379641,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3104,Kay County,OK,36.8384462,-97.1571626,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3105,Kiowa County,OK,34.9425062,-99.019906,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3106,Johnston County,OK,34.31888,-96.6752298,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3107,Kingfisher County,OK,35.9471931,-97.9641244,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3108,Latimer County,OK,34.8759191,-95.2482652,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3109,Le Flore County,OK,34.8782244,-94.6852153,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3110,Lincoln County,OK,35.6961464,-96.8898429,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3111,Logan County,OK,35.8879493,-97.4621935,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3112,Love County,OK,33.9852998,-97.2526992,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3113,McClain County,OK,34.9756991,-97.481167,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3114,McCurtain County,OK,34.1450295,-94.7802324,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3115,McIntosh County,OK,35.3630353,-95.6680554,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3116,Major County,OK,36.2860458,-98.4995602,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3117,Marshall County,OK,34.0497884,-96.7808049,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3118,Mayes County,OK,36.3047676,-95.2355722,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3119,Murray County,OK,34.4935341,-97.0475803,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3120,Muskogee County,OK,35.6630196,-95.3927706,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3121,Noble County,OK,36.4129621,-97.2681939,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3122,Nowata County,OK,36.7798848,-95.6226184,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3123,Okmulgee County,OK,35.6677078,-95.9690122,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3124,Osage County,OK,36.6189659,-96.401338,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3125,Ottawa County,OK,36.8223646,-94.8186091,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3126,Oklahoma County,OK,35.5533328,-97.4367741,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3127,Okfuskee County,OK,35.4655548,-96.3102089,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3128,Pawnee County,OK,36.3151645,-96.7200995,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3129,Payne County,OK,36.0721527,-96.9456522,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3130,Pittsburg County,OK,34.9327085,-95.7625858,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3131,Pontotoc County,OK,34.707331,-96.6814853,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3132,Pottawatomie County,OK,35.1783637,-96.969909,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3133,Pushmataha County,OK,34.4098497,-95.4033122,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3134,Roger Mills County,OK,35.6596782,-99.6898104,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3135,Rogers County,OK,36.3781607,-95.6190889,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3136,Seminole County,OK,35.1705939,-96.6263487,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3137,Sequoyah County,OK,35.5035863,-94.7360577,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3138,Stephens County,OK,34.4858287,-97.8636045,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3139,Texas County,OK,36.7390314,-101.4953594,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3140,Tillman County,OK,34.3835721,-98.9354765,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3141,Tulsa County,OK,36.1012145,-95.9250506,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3142,Wagoner County,OK,35.9542216,-95.5636238,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3143,Washington County,OK,36.6930592,-95.9078261,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3144,Washita County,OK,35.2917033,-98.9966972,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3145,Woods County,OK,36.7915843,-98.8313546,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3146,Woodward County,OK,36.374499,-99.2455382,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3148,Adams County,MS,31.4904067,-91.3297733,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3149,Alcorn County,MS,34.8734817,-88.5667345,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3150,Amite County,MS,31.1729865,-90.8217568,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3151,Attala County,MS,33.0777868,-89.5680661,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3152,Benton County,MS,34.8277278,-89.1960486,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3153,Bolivar County,MS,33.7702263,-90.8519798,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3154,Calhoun County,MS,33.9253624,-89.3231269,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3155,Chickasaw County,MS,33.9137474,-88.9357382,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3156,Choctaw County,MS,33.3569348,-89.2390212,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3157,Claiborne County,MS,31.9640367,-90.9141968,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3158,Clarke County,MS,32.0396256,-88.7003965,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3159,Clay County,MS,33.6393012,-88.7957063,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3160,Coahoma County,MS,34.1931314,-90.5653906,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3161,Carroll County,MS,33.4230182,-89.9110025,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3162,Copiah County,MS,31.8563532,-90.4798717,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3163,Covington County,MS,31.6143213,-89.5278045,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3164,DeSoto County,MS,34.8702932,-89.9778704,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3165,Forrest County,MS,31.1540772,-89.2398601,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3166,Franklin County,MS,31.467398,-90.8992648,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3167,George County,MS,30.857421,-88.6537118,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3168,Greene County,MS,31.2049136,-88.6429687,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3169,Grenada County,MS,33.772401,-89.7674875,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3170,Hancock County,MS,30.3892456,-89.4782116,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3171,Harrison County,MS,30.4553392,-89.1313136,2020,2020-04-05,Biological,COVID-19 PANDEMIC
3172,Hinds County,MS,32.2506391,-90.4793259,2020,2020-04-05,Biological,COVID-19 PANDEMIC
